Banglish,Hate
onader phsone bharotiyo bharotiyo bhab achhe,hate
amra chai kashmir shadhin hok ar bharot jeno onyo kon deshe ojachit hostkhep na kore,hate
modho oktobore chiner president shi jinoping jokhon bangladesh sophore giyechhilen tokhon arai hajar koti dlarer ti chukti hoyechilo taimos oph indiyar prtibedone bola hoyeche chiner ei orthnoitik peshishokti shonge jemon tokkr deyar sokkhmota bharoter nei temoni chiner mot bikoshit sa,hate
rendiya ke nishihno kore de,hate
koyekobochhor age bharoter nirbachone chorm samprdayik kottrponthi dol bijepir neta modi rashtriyo khomotay asin hole amader desher bnpr badh bhanga ullas dekhe mone hoyechilo je modi ebar soniya gandhir chorm asthabhajon hasina sorkar ke chitpotang kore khaleda jiya ke mosonode bosiye dibe kintu hay se ashayo gure bali diye modi ar o beshi dirgho din hasina sorkarke khomotay thakar poth sugm kore dil,hate
somossha to okhane noyo somossha hol se bangladesher hoye kajota korte pareni bangladesher nam ase ni eseche bangalir nam bharoter poshim bongge jara thake tarao bangali,hate
jodio sobar khoti hobe tarpor dokkhin eshiyayo ekti juddho hooya khuboi dorkar ar seta bharot pakistane moddhe ei juddher modhdiye bharot namok stupid rastta bhenge ta rasto hobe kashmir hobe shadhin muslim rasto,hate
ei shala madarchod takiye dekh oi lal sobujer potakar dike ekhono chitkar kore bolteche shohid bhaider kotha,hate
allahu akobar bharotke muchhe phelar somoy oti nikote,hate
notun kore bal jonmate hobe bharoter,hate
prkashye mathay tupi ar ontrale moder turi,hate
pakistan ekta atonko badi desh o sob deshei atonko bad chhorayo,hate
nouka bojhai shapola chottborer lash kon sahose tora bhot chas,hate
amra bharotiyo jati hobo keno amader orthoniti bharoter theke alada amader desh alada amader matribhasha bangla rastar bhasha o bangla amra shotkora musolomano,hate
bharot hol duniyar sobceye baje bejonma desh,hate
bharot sobodesher shoeu ar jara pakisotan bangladesh birodita kore tara rajakar,hate
bangladeshe jokhon hinduder ghoro barite hamla chalanote bharot sorkar tibro protibad janayo ar bharote jokhon bina oporadhe prkashye musolmander hotta kore tokhon bharotiyo montri mohadoyo gono tokhon ar manobotar bani sunate pare na,hate
paki o indiyan dalal othoba prachin o nobyo dalal ubhoyo soman doshi,hate
joy khankir pola tor rendiyate musolimoder ken marche tor mudir make chudi torat morle pore toke pele jento pora dibo malur baccha shekh hasina bektigt bhabe rendiyar puja korte pare amra jara awamilig kori jon rendiyar make chudi,hate
bharot er hatir kot somman agei to dekhechi ei bangladesh e ar aj sei bharot tren eksidento korche a ha re aj theke dosh din na kheye theke shok prerekash korte hobe ar mayanmar e to egulo ki manush ora to musolman oder jonno musolmanera shok prokash korbe,hate
bharot tader sarthe juddho koreche bangladesher jonno noi,hate
tumi pakistaner rajakar naki bhai eder motu loccha ar konu desh nai,hate
india icchhe charaler desh,hate
1971 e bharot sahajjo na korle ajke ei bangla bhashayo kotha bolte parti na phakistaner pa chatoti,hate
tor mare mone hoyo chudche nare rendiyar repisto pola,hate
pakistaner jon soinyo bharoter soinyer soman tar poreo bharot pichhu hotobe kenona musolmander sathe allah achhe ar amra sei jati amader rukhobe ke emon shokti kar,hate
parphormo kore ki shubhagt shubhashis nurul hasan chanso paise tahole naphij nasir al amin to intarnyashonal porjayo o primiyar lige bhalo koreche tahole doler bahire ken tara bharoter dalal papon o nannu bharot theke presokriposhon ana hoyo bangladesh dol ghoton korar age er majhe ullekh thake hindu kota jon badhtamulok chanso dite hobe,hate
deshotai bharotke diye de re,hate
are bhikari chuda ra tora ki vule geli je toder sadhinota amra diye chhilam,hate
sala malauner baccha rendiyar baccha kader dhormo er sobai jane togo dhormo neta krishno oi magir polayo to jatiyo chuccha abar tora koros joun puja tog dhormo netara bole nari hocche bhoger bostu tar mane tor ma bonder jayga fuck sala malauner baccha,hate
rohosyo to achhe seta hol bharot sorkar karon mudi kichhu na bolleto hachina prsab o korte jayo na mayanmar muslim gnohottayo amar mone hoyo bharot usokani dey jekhane bharot usokani dey sekhane shekh hachina kibhabe sahajjo korbe,hate
pakistaner sat sena nihoto houyar dinotite bharotiyo sena nihoto hoyechilo bole dabi korechhen pak senaprodhan jenarel rahil shorif choloti maser tarikhe bharotiyo bahinir bina usokanite guliborshner jobab dile e ghotona ghote bole janan tini,hate
bangladeshe bharoter koykuti achhe dushtra eta bolte parchhona dhorakhabi tai ekotha na bole jot dush nondo gush allah ekodin bichar nishit korben,hate
bharot ekta hindu rastar hoye musolimoder sahajjo koreche thai diyechhe abar shotrur biruddhe juddho koreche ar bangladesh muslim hoye musolimoder sahajjo korte paren na,hate
pharakkar sob get khule dileo somosyahobe na motiya bastob obostha chhobite dekha jayo,hate
hinduder jonno korchhotara ki korche eta korte parli na bharoter dalali korchho,hate
korche ar shala bharot bangladesher sadha,hate
indiyar sob manush naki shikkhito hahaha phohinnire kono din manush hoyo,hate
amader uchit arek chin othoba pakistan hooya ebong bharotke oushudh deya,hate
desher muktijoddhara na kheye din katayo ar bharoter jonno lakh lakh taka bajet kore ei holo muktijuddher chetona bebsha,hate
banglar musolman hotta korte tui i parbire pagli,hate
bharot chokrante bangla ebong pakistan bhag hoyeche eta sotto,hate
er baje potrika noya dignto khankir polara sob somoy bharot pakistan byapare indn de,hate
porikkha chara testo riporto dile jodi amar jel hoyo tobe ekoi oporadhe shikkhamontrikeo jele asote hobe,hate
ei hol amader desher muslim sorkar bharote tren durghtonar jonno ki koshto hocche kintu barmay shot shot muslim hotta kortese kulangagar bouddhra kintu duhkher bishoy amader desher prodhan montrir tokhon dukkho lagena,hate
ekhonoi tui bangla chharobharotiyo rajakar,hate
allahor lanot pork bharoter malaynoder upor,hate
bangladeshe samanyo pata puranuke kenodro kore je ulotopalot hocche ar bharote shot shot somusolim sorkarer nirdeshe hotta korche tar kon potibad nai bangladesher je kuttara sahobage chhitokar korche tara ki ta dekhochhena shunochhe na,hate
bharoter visa oita ekta jaoyar desh holo moulobadi samprdayik jongi danggabaj dhorsheker desh ota or cheye ugandayo jaoyao bhalo,hate
71 dekhini aj awamiliger shasonamole 71 onubhob kori,hate
amra otit vule jai sal banglar manush jibon bachanor jonno bharote ashryo niloaj ruhingga muslimra jokhon amader kache ashryo chay amara tader firiye deiamara bori sarthopor jati,hate
bangladesh dokhol kore mohabharot ghoton korben,hate
bangladesher tulonai bharote sngkhyalogur kon bichar ei hoyna ta likhar murd nei gadar marka niujoisto,hate
bangladeshe jongi hamla bhoye ostreliya elo na sirij khelte england prthome tim pathate raji chilo na kkapoten morgan elekso helos soh aro siniyr pleyarra elo na nirapottar obhabe tokhon batolar elo tim niye ar chagol bangladeshi guli taderi opoman korlo beiman bangladeshi chhotoloker dol bharot oder thakar jayga dil cricket dil nirapotta dil ar ekhon ei chhotolok guli behayar mot sob vule geche mirjaphorer bngsodhor england doya na korle to ei bhanggadesh aro pichhiye port chi chi chi pakisthani birjer fosol ei,hate
shironame bharot ullekh kore deya proyujon chilotohole comment onyo rokom hotoaoyamilig bi en pi ba jomat asotona,hate
ei ghotona jodi pakistani senara ghotato tahole dekha jet rendiyar songbad madhmogulo kibhabe pholao kore ta prokash kore,hate
bangladesher manushke bharot goru mone kore tai guli korle koshto lagena ar duhkhojonok holeo sotti bangladesher kichhu mamush bharot ke debota mone kore amra holam hotobhag jati,hate
rohinga musolmander pakistane niye jas na ken,hate
bharote mostan achhe onek sudhu khun korebichar nai,hate
thik bangladeshke orthat awami ligke emon bhabe hat kore era bangladesh chalacchhe ekhon bojhai jayo na amra bangladeshi na bharotiyo,hate
musolman rohinga deshe asolei toder chulokani shuru howar et et oboidho bharotiyo deshe thake ete toder kon kichhu hoynaar kot dalali korbirohingara edeshe na asole jabe kothayekhon manobota neihinduder belay dord uthle poredalal sob,hate
bharoter soinyke mere upojukto jobab dao ekotar bodole ekoshotake mere fele chitayo jwliye dao,hate
amra kon deshe basokori hasinar kache amar proshno jodi bangladeshe bosobas kore thaki tahole muslimra amader deshe ogradhikar bhittite jayga pacchhe na ken naki bharoter hukumer jonno cheye achen,hate
bas bharot dubai mariye ebar budodhng shornng gchochhamisngghng shornng gchochhami,hate
lungi mayar lungi nachare arale achhe shot shot opokormo,hate
bharot chin ke chape rakhobe ei asha ashai theke jabe bharot chin theke sobokichhutei sob somoyei pichhiye achh pichhiyei thakbe dui deshoi egiye jacchhe keh theme nei sekhane chin ke chape rakha hasykor bepar borong bangladeshe chipay porbe amader dorkar dui deshke,hate
poribar niye bharote jao nari sodosyder ar es eser dhorshner shikar banate,hate
obhinetrir deya sei kolomoguloi dekha jacchhe chatrolig sontrasider hate,hate
toder deini bole bolochhis dile bolotis na kangladeshi khankir chelera,hate
age bangladesher manusher mon joy korun simanto hotta bondho o tistar pani chukti sompadon korun dekhben chiner prophab emonetei kome geche bangladesher manush abar bharotke bishwas korbe apnara bangladesher khoti korei jaben abar koydin por por ese dhonna dhorben tranojit nou bondr byboharer jonno eta ottnto hin mon manosikotar porichoy bhalo hoite taka lagena,hate
bina chikitsayo jonogonke mrittur dike thele diye netara desh chere bideshe chikitsar jonno palacchhe,hate
muslim bole etai jodi hoyo tahole bharoter musolimoder rashtpoti montri prodhan montri shaharukh salman amir khan banoo thik hoyo nai,hate
bharoter hindu hole nishit dhukte dito,hate
bhai eisob kotha barta bharoter khetre bolleo chole kenona kheloyaro kinoba amra sobai bangladesher prtinidhitwo kori,hate
ami sudhu bolbo ora bharot haramir thekeo harami,hate
kichhu bangladeshi kriketoboddhader mote bharot sale khela tader prothom testo mach theke prtiti mmachei chiting kore eseche ja sara prithibir keu konoodin bujhte pare ni kintu saler bishwkap koyartar phainal mmache sorbprthom bharoter ei chiting dhore fele eisob kriketoboddhara,hate
sudhu sultan solayman ken ebar theke iusuph julekhao dekha shuru hobe esoe chanele man sommt kon kahini rchona na korte parle dorshk emonitei seta dekhobe na ar e niye somabesh mane nijeder byrthtake prokash kora bondho korte hole age bharotiyo channel bondho korun,hate
holir mare chudi bharot matare chudi,hate
dekh toder bhai phakistaner ki obostha ajo,hate
bharoter sudhu mukhei bok bok tachhara jara kina khay gorur mut tara shudhui korb fut fut,hate
sob jaiga rendiya jaroj der utopato lathothi mar sobai ber kore de phesobuk theke,hate
saler shadhinota juddhe bharot jebhabe bangladesher manushke oashryo diyechilo omonibhabe oashryo diye mayanmarke bishwbyapi chap pryoge rohinga nidhon bondho korte hobe,hate
medhabi holeo jamayatshibir sorkari chakri pabe na shajahan khan,hate
chetona joddhara shunochhen bhartoi bangladesh srishti kore diyechhe bolechen norendro modi,hate
bishwbyapi musolimoder biruddhe shorjontrer ekti ongsho anari juktir upor bhitti kore bharot islam prochar byahot koreche,hate
bangla deshi dui takar not bharote iyaba neshar panin banano hoyo,hate
tor rendiyare chodobe chin ebong pakistan amar bal chhirbe hindu dhormo namotare duniyar manchitro theke muchhe dibe chin pakistan hijoral dol charal napit phetora ettadi kichhui thakbe na,hate
bangladeshe jonggibader utthane bangladesh awamilig er bhumika,hate
apnader et chulokani age jantam na chulokaite mon chaile jaga mot chulokan parle bharoter channel gula bondo koren nijeder byarthta onyer upor chapiye dite khub bhalo lage,hate
bhaire kono hushiyarii kaje asobena karon bharoter matite bharotke teshte harane ot soja na,hate
pakistan toiri achi lukabe kothay bharot,hate
dharmik musolamanoder ajke rajakar bola hocche othocho paki bahinike murgi saplai diyeo murgi kobir aj budbhijibi,hate
jodi khoti houyar ashngka mone koren tobe kashmir somosyar shayi o shantipurno somadhane egiye asuno bishwo netader mmasej din niropekkho achen ta prokash koruno trideshiyo sommelon bangladesh bharot pakistan ahoban kore apni tar netritwo o modhstta koruno jemon apni sale nooyaj shorif aike gujoraloke niye trideshiyo banijyo sommelon hisebe korechhileno,hate
tora to rendiyar rendu oi vikarir bacchar vikka chaite asochhos vikka niye chole ja toder rendiya jati je bhikhari jati seta eidesh theke taka cheye ta proman korli jat khoratir baccha khorati kha bhalo kore are rendiyar ei gorur bacchake ar bhikharike vikka diye de ei rendu vikarir baccha vikka pay nai bole boloder mot hamba hamba korche,hate
dada jotoi laphalaphi koren prithibir kon labh nei bharot jotoi egiye jak pakistan satheyo jabe bharoter pachojon pakistaner ek jon bharoter jodi sahosh thake tahole pakistane hamla kore dekhak ta kokhono parbe na karon pakistaner sathe achhe chin iran tursko soudi arob rasia ar bharoter sathe achhe prithibir sob cheye shokti dhor rashto bangladesh,hate
kichhu din age media prochar korlo je dui jon jongi dhorechhe tara naki jakir nayeker onusari abar ekojonoke aies pathanor jonno jakir nayek hajar taka diyechhe amar kotha hol bharoter modi sorkar tar prtiti kotha ebong phutes koreo dhorte parl na ekhon abar notun kore onusarir kotha ase ki kore bangladesher hote lok jakirer onusari ba bhalobase tahole amra ki sobai jongi ekta e dekhechi jakirke ekjon korechilo kichhu khrishotan niriho muslim jonogonke bacha soh hotta korechilo ebong ei rokom hotta,hate
madarchudora bharoter dalal rendiya amader bondhu hote parena,hate
bharoter tate boro bal hobe,hate
sokol bharotiyo jaroj noyo kintu prttekota jarjoi malaun hoyo,hate
kashmiri jubokoke garir shonge bedhe niye jacchhe bharotiyo sena,hate
prithibir sobtheke baje byabohar ebong hringsyo kukur rendiyan pleyar ra,hate
bipul poriman ostro bharot sathe kore niye geche,hate
bharot er et chulokai kerephonin toder et jole kere,hate
tobe bharoter pokkho neoya hol ken,hate
takote o hobena maluder jayga rendiyay bangladeshe na,hate
amra chhayo bharotke dhongsho kore kolkata dokhol korbo,hate
eta bharoter porikolpit ghotano karon tara musolimoder sojjo korte pare na,hate
abar lutopater kon sujog khucchhe bharot,hate
ei rendiyan bhikhari to gorur sontan toder malaunder mot kon poshur go mutro keu khay na malaun rendiyan bhikhari,hate
cholun dadara bharot somporke jani akashokhani chheye geche ghon kalo meghebharter malu bishwsera khola mathe hege hotat kore borjr deke shuru hol borshnobharter malu bishwsera pothe ghate kore dhorshno roj sokale tara bole bonde mataramonij ma mami ar bon chude pay naki aramo bharoter malu jati bishwsera grure banayo ma ar honumanore bapopothe ghate bone jonggle chudachudi kore prithibite chhoracchhe papo,hate
tora jitote parli na tai ei dhoroner kotha bolochhis toder khomota achhe bharoter sathe jetar,hate
